PURPOSE,tripname,Month,week starting (SDG),Sampling Trip,lodging,MI&E,# days,teams,# staff per team,#lakes estimate,# staff needed,still needed,Kraft ,Onion,Seasonal,Intern,June,NEI- Staff,Gorney,Duffy,Outside Help,Calibration#1,Calibration#2,NYHABS Duty,NYHABS Backup,FloatPlanHolder1,FloatPlanHolder2,Calling Site Access
,Estimates for the 2022 season:,,,,,,,,,,,,7,15,12,10,8,7,6,1,,,,,,,,
,,5,9,,,,,,,,0,,,,,,,,,,,,,,,,,
RMN,RMN1,5,16,Special Studies - RMN Spring Sampling,96,59,3,1,2,,2,,1,,,,,,,,,,,,,,,
,,5,23,,,,,,,,0,,,,,,,,,,,,,,,,,
,,5,30,,,,,,,,0,,,,,,,,,,,,,,,,,
NLA,NLA1,6,6,NLA sampling at large effort fish tissue sites,96,59,3,2,2,,4,2,1,1,,,,,,,,,,,,,,
,,6,13,,,,,,,,0,,,,,,,,,,,,,,,,,
NLA,NLA2,6,20,"NLA sampling at large effort, large lakes",96,59,3,2,2,,4,2,1,1,,,,,,,,,,,,,,
,,6,27,,,,,,,,0,,,,,,,,,,,,,,,,,
,,7,4,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,
PWS Screening,DWSP2,7,11,DWSP2 screening,142,74,3,3,2,,6,,,1,,,,,,,,,,,,,,
NLA,NLA3,7,18,NLA sampling at lakes that require only 1 team/lake,96,59,3,2,2,,4,2,1,1,,,,,,,,,,,,,,
RMN,RMN2,7,25,RMN index sampling (July 24-Aug 7),96,59,3,1,2,,2,,1,OFF,,,,,,,,,,,,,,
Probability Sampling 2021-2025,LH1,8,1,Screening trip to the Lower Hudson Basin,142,74,3,2,2,,4,4,OFF,,,,,,,,,,,,,,,
Probability Sampling 2021-2025,CHMG,8,1,Screening trip to the Chemung Basin,96,59,2,1,2,,2,1,OFF,1,,,,,,,,,,,,,,
PWS Screening,,8,8,DWSP2 screening,142,74,3,3,2,,6,,,1,,,,,,,,,,,,,,
Probability Sampling 2021-2025,BLCK,8,15,Screening trip to the Black Basin,96,59,3,3,2,,6,4,1,1,,,,,,,,,,,,,,
PWS Screening,,8,22,DWSP2 screening,96,59,3,3,2,,6,,,1,,,,,,,,,,,,,,
,,8,29,,,,,,,,0,,,OFF,,,,,,,,,,,,,,
,,9,5,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,
Probability Sampling 2021-2025,LH2,9,12,Screening trip to the Lower Hudson basin,142,74,3,3,2,,6,6,,,,,,,,,,,,,,,,
,makeup,9,19,make up trips,,,3,3,2,,6,,,,,,,,,,,,,,,,,
,,9,26,,,,,,,,0,,,,,,,,,,,,,,,,,
RMN,RMN3,10,3,RMN recon,96,59,3,1,2,,2,,1,,,,,,,,,,,,,,,
