consider,category,CHARACTERISTIC_NAME,simple,RSLT_RESULT_SAMPLE_FRACTION,wqs_use, cost ,justification other than wqs,Redox sensitive,which study,DP,OW,BS,A,B,level justification
already sample,HABs_Parameters,ANATOXIN-A,anatoxin,,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,BMAA (BETA-METHYL-AMINO-(L)-ALANINE),bmaa,,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,"CHLOROPHYLL A (PROBE) CONCENTRATION, CHLOROPHYTE (GREEN ALGAE)","chla(probe,greens)",,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,"CHLOROPHYLL A (PROBE) CONCENTRATION, CHRYSOPHYTA (BROWN ALGAE)","chla(probe,browns)",,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,"CHLOROPHYLL A (PROBE) CONCENTRATION, CRYPTOPHYTA (CRYPTOPHYTES)","chla(probe,cryps)",,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,"CHLOROPHYLL A (PROBE) CONCENTRATION, CYANOBACTERIA (BLUEGREEN)","chla(probe,bg)",,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,"CHLOROPHYLL A (PROBE) CONCENTRATION, DINOPHYTA (DIATOMS)","chla(probe,diatoms)",,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,"CHLOROPHYLL A (PROBE) CONCENTRATION, TOTAL",chla(total),,no wqs,200,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,CYLINDROSPERMOPSIN,cylind,,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,MICROCYSTIN,microcystin,,no wqs,125,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,MICROCYSTIN DLA,microcystin (DLA),,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,MICROCYSTIN DLR,microcystin (DLR),,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,MICROCYSTIN LA,microcystin (LA),,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,MICROCYSTIN LR,microcystin (LR),,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,MICROCYSTIN MLR,microcystin (MLR),,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,MICROCYSTIN RR,microcystin (RR),,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,MICROCYSTIN YR,microcystin (YR),,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,HABs_Parameters,PHYCOCYANIN,phycocyanin,,no wqs,0,hab parameter,,random probabilistic,,1,,1,1,
already sample,In_Situ_Parameters,PHYCOCYANIN (PROBE),phycocyanin(probe),,no wqs,0,hab parameter,,random probabilistic,1,,,1,1,
already sample,In_Situ_Parameters,CHLOROPHYLL A (PROBE),chla(probe),,no wqs,0,generally characterize waterbody,,,1,,,1,1,
already sample,In_Situ_Parameters,DISSOLVED OXYGEN,DO,,all,0,WQS,,,1,,,1,1,
already sample,In_Situ_Parameters,DISSOLVED OXYGEN SATURATION,DOsat,,all,0,generally characterize waterbody,,,1,,,1,1,
already sample,In_Situ_Parameters,OXIDATION REDUCTION POTENTIAL (ORP),ORP,,no wqs,0,generally characterize waterbody,,,1,,,1,1,
already sample,In_Situ_Parameters,PH,ph,,all,0,WQS,,,1,,,1,1,
already sample,In_Situ_Parameters,TEMPERATURE,temperature,,no wqs,0,generally characterize waterbody - climate change impacts,,,1,,,1,1,
