,parameter,fraction,units,method_speciation,num_decimal_places,class,class_type,trout_class,spatial_extent,sampling_period,sampling_period_units,strata,type,use,water_type,pollutant,standard_type,narrative,wqs_threshold,statistic,min_n,block,direction,threshold,threshold_units,summarize_rows,summarize_rows_operator,num_rows_to_summarize,aggregate_parameter,wqs_75p_threshold_formula,wqs_75p_threshold
1,ammonia,total,ug/l,as N,1,a,fresh,all,nys,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
2,ammonia,total,ug/l,as N,1,a(t),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
3,ammonia,total,ug/l,as N,1,a(ts),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
4,ammonia,total,ug/l,as N,1,a,fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
5,ammonia,total,ug/l,as N,1,a(t),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
6,ammonia,total,ug/l,as N,1,a(ts),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
7,ammonia,total,ug/l,as N,1,a-special,fresh,all,nys,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
8,ammonia,total,ug/l,as N,1,a-special(t),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
9,ammonia,total,ug/l,as N,1,a-special(ts),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
10,ammonia,total,ug/l,as N,1,a-special,fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
11,ammonia,total,ug/l,as N,1,a-special(t),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
12,ammonia,total,ug/l,as N,1,a-special(ts),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
13,ammonia,total,ug/l,as N,1,aa,fresh,all,nys,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
14,ammonia,total,ug/l,as N,1,aa(t),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
15,ammonia,total,ug/l,as N,1,aa(ts),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
16,ammonia,total,ug/l,as N,1,aa,fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
17,ammonia,total,ug/l,as N,1,aa(t),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
18,ammonia,total,ug/l,as N,1,aa(ts),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
19,ammonia,total,ug/l,as N,1,aa-special,fresh,all,nys,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
20,ammonia,total,ug/l,as N,1,aa-special(t),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
21,ammonia,total,ug/l,as N,1,aa-special(ts),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
22,ammonia,total,ug/l,as N,1,aa-special,fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
23,ammonia,total,ug/l,as N,1,aa-special(t),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
24,ammonia,total,ug/l,as N,1,aa-special(ts),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,flow,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,49.3
25,ammonia,total,ug/l,as N,1,a,fresh,all,nys,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
26,ammonia,total,ug/l,as N,1,a(t),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
27,ammonia,total,ug/l,as N,1,a(ts),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
28,ammonia,total,ug/l,as N,1,a,fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
29,ammonia,total,ug/l,as N,1,a(t),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
30,ammonia,total,ug/l,as N,1,a(ts),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
31,ammonia,total,ug/l,as N,1,a-special,fresh,all,nys,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
32,ammonia,total,ug/l,as N,1,a-special(t),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
33,ammonia,total,ug/l,as N,1,a-special(ts),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
